día,precio de cierre ajustado,cambio de precio,dia,precio final,cambio,mes,dia,precio final,cambio,,,,día,precio de cierre,cambio de precio
407,1461.3,-2.9,,,,,,,,,,,,,
408,1455.5,-5.8,,,,,,,,,,,,,
409,1452.1,-3.4,,,,,,,,,,,,,
410,1461.7,9.6,,,,,,,,,,,,,
411,1471.8,10.1,,,,,,,,,,,,,
412,1467.3,-4.5,,,,,,,,,,,,,
413,1470.9,3.6,,,,,,,,,,,,,
414,1473.3,2.4,,,,,,,,,,,,,
415,1473.3,0,,,,,,,,,,,,,
416,1463.1,-10.2,,,,,,,,,,,,,
417,1463.1,0,,,,,,,,,,,,,
418,1456.6,-6.5,,,,,,,,,,,,,
419,1459.8,3.2,,,,,,,,,,,,,
420,1453.4,-6.4,,,,,,,,,,,,,
421,1465.6,12.2,,,,,,,,,,,,,
422,1462.3,-3.3,,,,,,,,,,,,,
423,1478.2,15.9,,,,,,,,,,,,,
424,1474,-4.2,,,,,,,,,,,,,
425,1476.9,2.9,,,,,,,,,,,,,
426,1459.1,-17.8,,,,,,,,,,,,,
427,1459.3,0.2,,,,,,,,,,,,,
428,1462.6,3.3,,,,,,,,,,,,,
429,1469.4,6.8,,,,,,,,,,,,,
430,1466.7,-2.7,,,,,,,,,,,,,
431,1475.6,8.9,,,,,,,,,,,,,
432,1475,-0.6,,,,,,,,,,,,,
433,1474.6,-0.4,,,,,,,,,,,,,
434,1472.6,-2,,,,,,,,,,,,,
435,1478.2,5.6,,,,,,,,,,,,,
436,1474.7,-3.5,,,,,,,,,,,,,
437,1482.5,7.8,,,,,,,,,,,,,
438,1499.1,16.6,,,,,,,,,,,,,
439,1509.3,10.2,,,,,,,,,,,,,
440,1513.8,4.5,,,,,,,,,,,,,
441,1514.5,0.7,,,,,,,,,,,,,
442,1519.5,5,,,,,,,,,,,,,
443,1524.5,5,,,,,,,,,,,,,
444,1549.2,24.7,,,,,,,,,,,,,
445,1566.2,17,,,,,,,,,,,,,
446,1571.8,5.6,,,,,,,,,,,,,
447,1557.4,-14.4,,,,,,,,,,,,,
448,1551.7,-5.7,,,,,,,,,,,,,
449,1557.5,5.8,,,,,,,,,,,,,
450,1548.4,-9.1,,,,,,,,,,,,,
451,1542.4,-6,,,,,,,,,,,,,
452,1552.1,9.7,,,,,,,,,,,,,
453,1549,-3.1,,,,,,,,,,,,,
454,1558.8,9.8,,,,,,,,,,,,,
455,1556.4,-2.4,,,,,,,,,,,,,
456,1555.3,-1.1,,,,,,,,,,,,,
457,1564.6,9.3,,,,,,,,,,,,,
458,1571.1,6.5,,,,,,,,,,,,,
459,1576.8,5.7,,,,,,,,,,,,,
460,1569.2,-7.6,,,,,,,,,,,,,
461,1569.8,0.6,,,,,,,,,,,,,
462,1583.5,13.7,,,,,,,,,,,,,
463,1582.9,-0.6,,,,,,,,,,,,,
464,1577.2,-5.7,,,,,,,,,,,,,
465,1550.4,-26.8,,,,,,,,,,,,,
466,1557.8,7.4,,,,,,,,,,,,,
467,1565.1,7.3,,,,,,,,,,,,,
468,1568.6,3.5,,,,,,,,,,,,,
469,1574.7,6.1,,,,,,,,,,,,,
470,1565.6,-9.1,,,,,,,,,,,,,
471,1567.4,1.8,,,,,,,,,,,,,
472,1575.1,7.7,,,,,,,,,,,,,
473,1582.7,7.6,,,,,,,,,,,,,
474,1600,17.3,,,,,,,,,,,,,
475,1607.5,7.5,,,,,,,,,,,,,
476,1616.6,9.1,,,,,,,,,,,,,
477,1644.6,28,,,,,,,,,,,,,
478,1672.4,27.8,,,,,,,,,,,,,
479,1646.9,-25.5,,,,,,,,,,,,,
480,1640,-6.9,,,,,,,,,,,,,
481,1640,0,,,,,,,,,,,,,
482,1564.1,-75.9,,,,,,,,,,,,,
483,1592.3,28.2,,,,,,,,,,,,,
484,1642.1,49.8,,,,,,,,,,,,,
485,1641.1,-1,,,,,,,,,,,,,
486,1666.4,25.3,,,,,,,,,,,,,
487,1670.8,4.4,,,,,,,,,,,,,
488,1674.5,3.7,,,,,,,,,,,,,
489,1659.1,-15.4,,,,,,,,,,,,,
490,1641.4,-17.7,,,,,,,,,,,,,
491,1589.3,-52.1,,,,,,,,,,,,,
492,1515.7,-73.6,,,,,,,,,,,,,
493,1485.9,-29.8,,,,,,,,,,,,,
494,1524.9,39,,,,,,,,,,,,,
495,1477.3,-47.6,,,,,,,,,,,,,
496,1478.6,1.3,,,,,,,,,,,,,
497,1484,5.4,,,,,,,,,,,,,
498,1567,83,,,,,,,,,,,,,
499,1660.2,93.2,,,,,,,,,,,,,
500,1632.3,-27.9,,,,,,,,,,,,,
501,1650.1,17.8,,,,,,,,,,,,,
502,1623.9,-26.2,,,,,,,,,,,,,
503,1622,-1.9,,,,,,,,,,,,,
504,1583.4,-38.6,,,,,,,,,,,,,
505,1578.2,-5.2,,,,,,,,,,,,,
506,1625.7,47.5,,,,,,,,,,,,,
507,1633.7,8,,,,,,,,,,,,,
508,1677,43.3,,,,,,,,,,,,,
509,1664.8,-12.2,,,,,,,,,,,,,
510,1665.4,0.6,,,,,,,,,,,,,
511,1736.2,70.8,,,,,,,,,,,,,
512,1744.8,8.6,,,,,,,,,,,,,
513,1756.7,11.9,,,,,,,,,,,,,
514,1727.2,-29.5,,,,,,,,,,,,,
515,1720.4,-6.8,,,,,,,,,,,,,
516,1689.2,-31.2,,,,,,,,,,,,,
517,1701.6,12.4,,,,,,,,,,,,,
518,1678.2,-23.4,,,,,,,,,,,,,
519,1728.7,50.5,,,,,,,,,,,,,
520,1733.3,4.6,,,,,,,,,,,,,
521,1723.5,-9.8,,,,,,,,,,,,,
522,1711.9,-11.6,,,,,,,,,,,,,
523,1710.5,-1.4,,,,,,,,,,,,,
524,1703.4,-7.1,,,,,,,,,,,,,
525,1684.2,-19.2,,,,,,,,,,,,,
526,1694.5,10.3,,,,,,,,,,,,,
527,1706.9,12.4,,,,,,,,,,,,,
528,1704.4,-2.5,,,,,,,,,,,,,
529,1684.2,-20.2,,,,,,,,,,,,,
530,1721.8,37.6,,,,,,,,,,,,,
531,1709.9,-11.9,,,,,,,,,,,,,
532,1695.3,-14.6,,,,,,,,,,,,,
533,1704.4,9.1,,,,,,,,,,,,,
534,1713.9,9.5,,,,,,,,,,,,,
535,1738.1,24.2,,,,,,,,,,,,,
536,1753.4,15.3,,,,,,,,,,,,,
537,1731.8,-21.6,,,,,,,,,,,,,
538,1744.2,12.4,,,,,,,,,,,,,
539,1750.6,6.4,,,,,,,,,,,,,
540,1720.5,-30.1,,,,,,,,,,,,,
541,1734.6,14.1,,,,,,,,,,,,,
542,1704.8,-29.8,,,,,,,,,,,,,
543,1710.3,5.5,,,,,,,,,,,,,
544,1713.3,3,,,,,,,,,,,,,
545,1736.9,23.6,,,,,,,,,,,,,
546,1737.8,0.9,,,,,,,,,,,,,
